[epoch: 763, batch:  1912] loss: 38.724, sam-loss: 0.001, bandMse: 4.918, val-RMSE: 167.138, val-SAM: 7.298, val-PSNR: 25.313, AVG-Time: 4.651, LR: 0.000300
[epoch: 764, batch:  1912] loss: 24.995, sam-loss: 0.002, bandMse: 5.664, val-RMSE: 190.274, val-SAM: 7.193, val-PSNR: 25.953, AVG-Time: 4.686, LR: 0.000300
[epoch: 765, batch:  1912] loss: 20.275, sam-loss: 0.001, bandMse: 3.815, val-RMSE: 146.170, val-SAM: 6.323, val-PSNR: 27.474, AVG-Time: 4.933, LR: 0.000300
[epoch: 766, batch:  1912] loss: 17.565, sam-loss: 0.001, bandMse: 4.999, val-RMSE: 112.154, val-SAM: 4.969, val-PSNR: 30.468, AVG-Time: 4.629, LR: 0.000300
[epoch: 767, batch:  1912] loss: 16.443, sam-loss: 0.001, bandMse: 3.029, val-RMSE: 97.388, val-SAM: 4.443, val-PSNR: 30.897, AVG-Time: 4.498, LR: 0.000300
[epoch: 768, batch:  1912] loss: 14.933, sam-loss: 0.000, bandMse: 5.541, val-RMSE: 109.281, val-SAM: 4.279, val-PSNR: 31.172, AVG-Time: 4.483, LR: 0.000300
[epoch: 769, batch:  1912] loss: 13.616, sam-loss: 0.000, bandMse: 3.980, val-RMSE: 86.540, val-SAM: 3.854, val-PSNR: 32.438, AVG-Time: 4.522, LR: 0.000300
[epoch: 770, batch:  1912] loss: 13.624, sam-loss: 0.001, bandMse: 7.664, val-RMSE: 162.496, val-SAM: 6.834, val-PSNR: 25.697, AVG-Time: 4.780, LR: 0.000300
[epoch: 771, batch:  1912] loss: 12.051, sam-loss: 0.000, bandMse: 4.127, val-RMSE: 71.343, val-SAM: 3.425, val-PSNR: 32.842, AVG-Time: 4.810, LR: 0.000300
[epoch: 772, batch:  1912] loss: 11.430, sam-loss: 0.000, bandMse: 3.949, val-RMSE: 87.994, val-SAM: 3.575, val-PSNR: 31.522, AVG-Time: 4.782, LR: 0.000300
[epoch: 773, batch:  1912] loss: 11.508, sam-loss: 0.000, bandMse: 3.031, val-RMSE: 67.445, val-SAM: 3.137, val-PSNR: 34.421, AVG-Time: 4.876, LR: 0.000300
[epoch: 774, batch:  1912] loss: 10.625, sam-loss: 0.001, bandMse: 3.712, val-RMSE: 100.856, val-SAM: 4.117, val-PSNR: 30.823, AVG-Time: 5.606, LR: 0.000300
[epoch: 775, batch:  1912] loss: 10.862, sam-loss: 0.001, bandMse: 3.086, val-RMSE: 74.680, val-SAM: 3.365, val-PSNR: 33.054, AVG-Time: 4.868, LR: 0.000300
[epoch: 776, batch:  1912] loss: 10.246, sam-loss: 0.000, bandMse: 3.251, val-RMSE: 62.294, val-SAM: 3.237, val-PSNR: 34.148, AVG-Time: 4.772, LR: 0.000300
[epoch: 777, batch:  1912] loss: 10.188, sam-loss: 0.000, bandMse: 2.413, val-RMSE: 57.852, val-SAM: 2.822, val-PSNR: 35.310, AVG-Time: 5.579, LR: 0.000300
[epoch: 778, batch:  1912] loss: 9.164, sam-loss: 0.001, bandMse: 2.760, val-RMSE: 64.361, val-SAM: 3.228, val-PSNR: 33.244, AVG-Time: 4.657, LR: 0.000300
[epoch: 779, batch:  1912] loss: 9.250, sam-loss: 0.001, bandMse: 1.680, val-RMSE: 53.749, val-SAM: 2.596, val-PSNR: 35.963, AVG-Time: 4.799, LR: 0.000300
[epoch: 780, batch:  1912] loss: 9.982, sam-loss: 0.000, bandMse: 2.411, val-RMSE: 58.563, val-SAM: 2.682, val-PSNR: 35.329, AVG-Time: 4.813, LR: 0.000300
[epoch: 781, batch:  1912] loss: 8.718, sam-loss: 0.000, bandMse: 2.323, val-RMSE: 61.183, val-SAM: 2.678, val-PSNR: 35.389, AVG-Time: 4.770, LR: 0.000300
[epoch: 782, batch:  1912] loss: 8.788, sam-loss: 0.000, bandMse: 3.185, val-RMSE: 78.531, val-SAM: 3.669, val-PSNR: 32.984, AVG-Time: 5.028, LR: 0.000300
[epoch: 783, batch:  1912] loss: 8.853, sam-loss: 0.000, bandMse: 2.293, val-RMSE: 49.419, val-SAM: 2.401, val-PSNR: 35.962, AVG-Time: 4.781, LR: 0.000300
[epoch: 784, batch:  1912] loss: 11.386, sam-loss: 0.001, bandMse: 2.368, val-RMSE: 54.392, val-SAM: 2.344, val-PSNR: 35.341, AVG-Time: 5.225, LR: 0.000300
[epoch: 785, batch:  1912] loss: 8.348, sam-loss: 0.000, bandMse: 3.173, val-RMSE: 59.185, val-SAM: 2.917, val-PSNR: 34.387, AVG-Time: 5.643, LR: 0.000300
[epoch: 786, batch:  1912] loss: 8.336, sam-loss: 0.001, bandMse: 2.170, val-RMSE: 51.094, val-SAM: 2.561, val-PSNR: 35.650, AVG-Time: 6.098, LR: 0.000300
[epoch: 787, batch:  1912] loss: 8.064, sam-loss: 0.000, bandMse: 3.091, val-RMSE: 58.507, val-SAM: 2.917, val-PSNR: 34.380, AVG-Time: 5.418, LR: 0.000300
[epoch: 788, batch:  1912] loss: 7.925, sam-loss: 0.001, bandMse: 3.298, val-RMSE: 66.938, val-SAM: 3.240, val-PSNR: 33.806, AVG-Time: 5.439, LR: 0.000300
[epoch: 789, batch:  1912] loss: 8.219, sam-loss: 0.000, bandMse: 2.602, val-RMSE: 47.450, val-SAM: 2.371, val-PSNR: 36.433, AVG-Time: 5.173, LR: 0.000300
[epoch: 790, batch:  1912] loss: 8.232, sam-loss: 0.000, bandMse: 3.241, val-RMSE: 61.029, val-SAM: 2.805, val-PSNR: 35.023, AVG-Time: 5.692, LR: 0.000300
